1,1111,"Smith_John",smithj@cpts122.edu,4,CS,Freshman,0,NULL,
2,8147,"Beck_Sara",sara@cpts122.edu,4,EE,Junior,0,NULL,
3,1121,"Leinart_Timothy",tim@cpts122.edu,4,EE,Junior,0,NULL,
4,4478,"Art_Bruce",bart@cpts122.edu,AU,CPTE,Freshman,0,NULL,
5,2121,"James_Hannah",jameshannah@cpts122.edu,4,CS,Freshman,0,NULL,
6,5530,"Payton_Ella",epayton@cpts122.edu,4,CPTE,Graduate,0,NULL,
7,7759,"Sam_Theo",samt@cpts122.edu,4,EE,Sophomore,0,NULL,
8,1122,"Smith_Jane",jane@cpts122.edu,4,CS,Sophomore,0,NULL,
9,1222,"Willis_Bruce",brucewillis@cpts122.edu,AU,CS,Sophomore,0,NULL,
10,3255,"Mort_Kris",mort@cpts122.edu,4,CS,Senior,0,NULL,
11,1337,Elliott Villars,elliott.villars@wsu.edu,4,CS,Undergraduate,1,NULL
